scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,32.5,1.25,10.5,-10.5
case_000_davis_crescent_t1,ambiguous,0.7654,8.75,-55.75,-56.75,56.75
scn_0001_trivial_invisible,trivial,0.0,0.0,1.0,-0.25,0.25
scn_0002_night_easy_visible,trivial,0.0,3.75,-5.0,-12.5,12.5
scn_0003_trivial_invisible,trivial,0.0,1.0,-1.25,-1.25,1.25
scn_0004_trivial_invisible,trivial,0.0,0.5,0.5,0.0,0.0
scn_0005_daylight_moderate,ambiguous,0.7145,33.75,-18.25,10.5,-10.5
scn_0006_twilight_civil,moderate,0.4816,10.0,-13.75,-36.25,36.25
scn_0007_daylight_gibbous,trivial,0.0,39.75,-18.5,20.0,-20.0
scn_0008_night_easy_visible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0009_night_marginal,ambiguous,0.7214,2.5,-3.75,-5.0,5.0
scn_0010_night_marginal,trivial,0.0,3.75,-6.25,-30.0,30.0
scn_0011_twilight_astronomical,trivial,0.0,0.0,-5.0,-11.25,11.25
scn_0012_daylight_gibbous,trivial,0.0,-8.75,-47.25,-42.25,42.25
scn_0013_daylight_thin_crescent,ambiguous,0.9558,17.75,-20.75,-16.0,16.0
scn_0014_daylight_moderate,moderate,0.615,29.5,-5.25,7.75,-7.75
scn_0015_daylight_moderate,moderate,0.6604,14.75,10.25,-3.75,3.75
scn_0016_daylight_thin_crescent,moderate,0.5041,13.75,-4.5,-4.5,4.5
scn_0017_twilight_civil,moderate,0.6911,-22.5,-33.75,-53.5,53.5
scn_0018_daylight_gibbous,trivial,0.0,38.5,-12.5,19.75,-19.75
scn_0019_daylight_thin_crescent,moderate,0.6208,-12.5,-33.5,-23.5,23.5
scn_0020_daylight_moderate,moderate,0.4292,3.75,-27.5,-17.0,17.0
scn_0021_daylight_moderate,trivial,0.0,-17.25,-61.0,-42.0,42.0
scn_0022_twilight_nautical,moderate,0.4751,2.5,-2.5,-30.0,30.0
scn_0023_daylight_thin_crescent,easy,0.2219,14.5,-1.25,-2.25,2.25
scn_0024_daylight_near_sun_extreme,trivial,0.0,0.0,0.0,0.0,0.0
scn_0025_daylight_near_sun_extreme,trivial,0.0,0.0,0.0,0.0,0.0
scn_0026_daylight_thin_crescent,moderate,0.4297,7.5,-5.0,-4.75,4.75
scn_0027_twilight_civil,trivial,0.0,0.0,-12.5,-11.25,11.25
scn_0028_twilight_astronomical,trivial,0.0,0.0,-4.375,-2.5,2.5
scn_0029_twilight_nautical,trivial,0.0,0.0,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,easy,0.2305,2.25,3.25,0.0,0.0
